nom_fichier,time,value,sol,obj_bound,gap
10_ulysses_3.tsp,0.059999942779541016,54.354823587721164,"[1, 5, 8][2, 3, 4][6, 7, 9,...",54.354823587721164,0.0
10_ulysses_6.tsp,0.10299992561340332,7.22199614222636,"[4][5][2, 3][6, 7][9, 10][1...",7.22199614222636,0.0
10_ulysses_9.tsp,0.10400009155273438,0.7202777242147631,"[3][9][1, 8][4][2][6][7][10...",0.7202777242147631,0.0
14_burma_3.tsp,0.1359999179840088,66.21374551350527,"[3, 4, 12, 14][5, 6, 7, 13]...",66.21374551350527,0.0
14_burma_6.tsp,0.17500019073486328,17.962247641471908,"[1, 2, 8][9, 10, 11][5][3, ...",17.962247641471908,0.0
14_burma_9.tsp,0.29600000381469727,4.724843955442653,"[1, 8][3, 14][2][7, 13][4][...",4.724843955442653,0.0
22_ulysses_3.tsp,0.4570000171661377,284.2098066855361,"[7, 10, 12, 13, 14, 19, 20,...",284.2098066855361,0.0
22_ulysses_6.tsp,6.351000070571899,82.6309678494024,"[7, 12, 13, 14][2, 3, 4, 17...",82.6309678494024,0.0
100_kroA_3.tsp,30.19000005722046,2.1273752538849534e6,"[1, 4, 10, 17, 18, 19, 21, ...",72286.71491489626,0.9660207033136781
100_kroA_6.tsp,30.234999895095825,721762.908750965,"[3, 7, 9, 12, 14, 20, 27, 3...",0.0,0.9999999999999999
100_kroA_9.tsp,30.317000150680542,507717.1595593813,"[33, 36, 40, 84, 96][10, 11...",0.0,0.9999999999999998
202_gr_3.tsp,30.39299988746643,91062.36056211736,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,0.9999999999999989
202_gr_6.tsp,30.738999843597412,38469.77126226459,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,0.9999999999999973
202_gr_9.tsp,32.592000007629395,19583.118199315264,"[2, 3, 4, 5, 6, 7, 8, 9, 10...",0.0,0.999999999999995
318_lin_3.tsp,31.1489999294281,2.334288980065994e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
318_lin_6.tsp,36.90899991989136,1.1022804750814583e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
318_lin_9.tsp,33.36500000953674,5.896963244453926e6,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
400_rd_3.tsp,32.52300000190735,1.4652633444680586e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
400_rd_6.tsp,33.31599998474121,7.285292419131433e6,"[9, 17, 19, 32, 38, 45, 48,...",0.0,1.0
400_rd_9.tsp,36.58399987220764,5.213853259897364e6,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
532_att_3.tsp,33.401000022888184,1.1324677108318272e8,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
532_att_6.tsp,37.56100010871887,5.9865293791634575e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
532_att_9.tsp,39.771000146865845,3.765235571669109e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9,...",0.0,1.0
