nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0.0,0.0
10_ulysses_3.tsp,2.0310001373291016,136.99527629589417,"[5, 9][1, 2, 3, 10][4, 6, 7, 8]",136.99420807981383,7.797466520183073e-6
10_ulysses_6.tsp,17.805999994277954,55.11939124322688,"[10][6, 9][5][2, 3][1, 4, 8][7]",55.11442110891486,9.017034114322455e-5
10_ulysses_9.tsp,8.379999876022339,33.29189782877749,"[6][5][9][7][1][2, 3][8][4][10]",33.29189782877749,0.0
14_burma_3.tsp,3.24399995803833,93.38998725996821,"[3, 4, 5, 6, 7][1, 8, 9, 10, 11][2, 12, 13, 14]",93.38998725996821,0.0
14_burma_6.tsp,120.01500010490417,42.740623542601746,"[7][6, 12, 14][2, 13][3, 4, 5][9, 10][1, 8, 11]",5.434897860788866,0.8728399959944685
14_burma_9.tsp,120.02499985694885,20.762438566071065,"[3, 4][9, 11][10][1, 8][7][5][13, 14][6, 12][2]",0.0,0.9999999999951837
22_ulysses_3.tsp,120.0569999217987,381.6080718395002,"[4, 5, 6, 7, 9, 10, 11][12, 13, 14, 15, 19, 20, 21][1, 2, 3, 8, 16, 17, 18, 22]",288.86903807001704,0.2430216775091272
22_ulysses_6.tsp,120.03000020980835,184.85803306762705,"[5, 14, 16, 19][6, 11, 13][1, 3, 4, 17, 18, 22][10, 12, 21][2, 8, 9][7, 15, 20]",0.0,0.9999999999994591
22_ulysses_9.tsp,120.05299997329712,78.48808693276995,"[1, 16][6, 10][4, 8, 18][5, 7, 14][11, 19][2, 3, 17][15, 22][12, 20, 21][9, 13]",0.0,0.9999999999987259
26_eil_3.tsp,120.02499985694885,3028.1882075203266,"[8, 10, 11, 12, 13, 14, 15, 18, 19][4, 6, 7, 17, 22, 23, 25, 26][1, 2, 3, 5, 9, 16, 20, 21, 24]",783.1166318785715,0.7413910304736602
26_eil_6.tsp,120.09899997711182,1268.2428307799041,"[4, 5, 17, 25][10, 12, 14, 15, 18][1, 7, 24, 26][6, 13, 19][9, 21, 22, 23][2, 3, 8, 11, 16, 20]",0.3456654529952018,0.9997274453718908
26_eil_9.tsp,120.05599999427795,1006.5109586516216,"[3, 8, 18][22, 23, 25][5, 14, 17][1, 4, 15][6, 12, 13][10, 11, 21][2, 7, 20][19, 24][9, 16, 26]",0.0,0.9999999999999006
